,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 01:54:00,,,,,,,0.00946,,,0.00046,,,,0.0042,,,0.01085,,0.06614,,,0.00688,0.01196,0.01965,0.0052,,0.00105
2018-10-08 01:55:00,0.00435,,,,,,0.0074,0.00146,0.01154,0.0073,0.00793,,0.00191,0.00751,,,0.0161,,0.04619,0.00092,,0.01331,0.00853,0.02483,,,
2018-10-08 01:56:00,0.018,,,,,,0.02264,,0.00501,0.01043,0.0073,0.00013,0.00632,0.00383,0.00017,,0.01143,,0.05418,0.01285,,0.00108,0.0332,0.02004,0.00868,,
2018-10-08 01:57:00,0.00143,,,,,,0.03253,,,0.00201,,,0.00112,0.02008,,,0.01267,,0.05763,0.01173,,0.00051,0.01836,0.00326,0.00438,,0.01502
2018-10-08 01:58:00,0.00602,,,,,,0.00993,,,0.00819,,,,0.01355,,,0.00379,,0.04898,,,0.0011,0.02585,0.00911,,,
2018-10-08 01:59:00,0.00407,,,,,,0.00111,,,0.02124,0.00094,,,0.0093,0.00095,,0.00425,,0.058,0.00914,,0.01289,0.01217,0.00511,0.00686,,0.00517
2018-10-08 02:00:00,0.00064,,,,,,0.0059,0.0168,,0.01899,,0.00867,,,,,0.00989,,0.04685,,,0.00201,0.01188,0.02018,0.00781,,0.00123
2018-10-08 02:01:00,,,,,,,0.0065,,,,0.00021,0.00252,,0.00614,0.01079,,0.02429,,0.06988,,,,0.03289,,0.00016,,
2018-10-08 02:02:00,0.01633,,,,,,0.00264,,0.00544,0.00344,0.00347,,,0.01546,0.00641,,0.00204,,0.04881,,,0.00348,0.02392,0.00282,,,0.02263
2018-10-08 02:03:00,0.00877,,,,,,0.01352,0.00567,,0.02385,0.00332,,,0.03439,,,0.01717,,0.03254,0.00132,,,0.02337,0.02577,0.00421,,0.01216
